Feature,current,2011.08.19,2010.05,2009.08,2009.02,2008.06-overlord,2007.08-dontpanic,0.8-voodoo,0.7-wombat,0.6-widget,0.5-nova,0.4-dragon,0.3-firefly,0.2-vega,0.1-homer
Release Date,2023-09-26,2011-08-19,2010-05-17,2009-08-09,2009-02-17,2008-06-24,2007-08-05,2007-04-01,2005-01-24,2004-03-01,2003-07-21,2002-12-18,2002-08-07,2002-04-17,2002-03-11
End Of Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
Image Size (MB),NA,1-659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/,http://www.archlinux.org/download/
Installation,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode
Default Desktop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Package Management,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman,Pacman
Release Model,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling,Rolling
Office Suite,"GOffice, Calligra, LibreOffice",--,--,--,--,--,--,--,--,--,KOffice,KOffice,KOffice,NA,NA
Processor Architecture,x86_64,"i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64",i686,i686,i686,i686,i686,i686,i686
Init Software,systemd,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV
Journaled File Systems,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, ReiserFS","ext3, ReiserFS","ext3, ReiserFS","ext3, ReiserFS","ext3, ReiserFS"
Multilingual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asian Language Support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Number of Packages,15853,172,215,174,160,183,540,565,338,327,355,323,219,64,69
