Feature,03-2023,22.12,21.5,2020.09.20,2019.12.22
Release Date,2023-03-08,2022-12-19,2021-12-17,2020-09-20,2019-12-23
End Of Life,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free
Image Size (MB),1900-2000,1900-2000,1900-2000,1800-1900,1600-1700
Free Download,https://github.com/endeavouros-team/ISO,https://github.com/endeavouros-team/ISO,https://github.com/endeavouros-team/ISO,https://github.com/endeavouros-team/ISO,https://github.com/endeavouros-team/ISO
Installation,Graphical,Graphical,Graphical,Graphical,Graphical
Default Desktop,Xfce,Xfce,Xfce,Xfce,Xfce
Package Management,pacman,pacman,pacman,pacman,pacman
Release Model,Rolling,Rolling,Rolling,Rolling,Rolling
Office Suite,--,--,--,--,--
Processor Architecture,"aarch64, x86_64","aarch64, x86_64","aarch64, x86_64","aarch64, x86_64",x86_64
Init Software,systemd,systemd,systemd,systemd,systemd
Journaled File Systems,"Btrfs, ext3, ext4","Btrfs, ext3, ext4","Btrfs, ext3, ext4","Btrfs, ext3, ext4","Btrfs, ext3, ext4"
Multilingual,Yes,Yes,Yes,Yes,Yes
Asian Language Support,--,--,--,--,--
Number of Packages,893,890,885,894,820
