Feature,6.6,5.8,4.8,3.8,2.8,1.0.8
Release Date,2023-09-04,2022-01-31,2020-01-13,2018-01-30,2016-01-31,2014-01-16
End Of Life,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free
Image Size (MB),2300-2400,1400-1500,1300-1400,1000-1100,NA,NA
Free Download,http://sourceforge.net/projects/linuxlite/files/,http://sourceforge.net/projects/linuxlite/files/,http://sourceforge.net/projects/linuxlite/files/,http://sourceforge.net/projects/linuxlite/files/,http://sourceforge.net/projects/linuxlite/files/,http://sourceforge.net/projects/linuxlite/files/
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical
Default Desktop,Xfce,Xfce,Xfce,Xfce,Xfce,Xfce
Package Management,DEB,DEB,DEB,DEB,DEB,DEB
Release Model,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice
Processor Architecture,x86_64,x86_64,x86_64,"i686, x86_64","i386, x86_64","i386, x86_64"
Init Software,systemd,systemd,systemd,systemd,systemd,Upstart
Journaled File Systems,"Btrfs, ext3, ext4","Btrfs, ext3, ext4","Btrfs, ext3, ext4","Btrfs, ext3, ext4",NA,NA
Multilingual,NA,NA,NA,NA,NA,NA
Asian Language Support,NA,NA,NA,NA,NA,NA
Number of Packages,2149,1959,2061,1791,1552,1263
