Feature,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.7,2.6
Release Date,2023-04-10,2022-10-20,2022-04-21,2021-10-14,2021-05-01,2020-10-18,2020-05-19,2019-10-17,2019-04-24,2018-10-18,2018-04-02,2017-10-09,2017-04-11,2016-09-01,2016-03-29,2015-10-18,2015-04-30,2014-11-01,2014-05-01,2013-11-01,2013-05-01,2012-11-01,2012-05-01,2011-11-01,2011-05-01,2010-11-01,2010-05-19,2009-10-18,2009-05-01,2008-11-01,2008-05-01,2007-11-01,2007-05-01,2006-11-01,2006-05-01,2005-11-01,2005-05-19,2004-10-29,2004-05-01,2003-11-01,2003-05-01,2002-11-01,2002-05-19,2001-12-01,2000-12-01,2000-12-01,2000-06-15,1999-12-01
End Of Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45,45,45,45,40,40,40,NA,NA,NA,NA,NA,NA,NA
Image Size (MB),500-700,400-600,400-600,384-520,384-520,399-511,370-448,367-442,368-388,324-343,335-340,320-330,199-209,216-226,213-223,210-220,208-219,211-227,222-237,216-232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html,http://www.openbsd.org/ftp.html
Installation,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode
Default Desktop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Package Management,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ,TGZ
Release Model,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,"GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, Calligra, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, LibreOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice","GOffice, KOffice","GOffice, KOffice","GOffice, KOffice","GOffice, KOffice","GOffice, KOffice",KOffice,KOffice,KOffice,KOffice,KOffice,KOffice,--,--,--
Processor Architecture,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms,Supported platforms
Init Software,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
Journaled File Systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multilingual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asian Language Support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Number of Packages,11764,11451,11301,11325,11310,11234,11268,10736,10602,10304,9912,9728,9697,9394,9290,8866,8722,8588,8468,7976,7670,7483,7233,7008,6620,6218,5953,5609,5381,5035,4784,4362,4126,3641,3147,2980,2800,2544,2320,2211,2042,1839,1813,1475,1236,911,536,676
