,distro,rating,votes,cluster_label
0,absolute,4.833333333333333,2.3333333333333335,2
1,alma,7.913793103448276,1.7241379310344827,1
2,alpine,9.033333333333333,35.266666666666666,7
3,alt,8.75,19.25,5
4,antix,8.119565217391305,14.141304347826088,2
5,arch,9.38,4.87,2
6,archcraft,8.679245283018869,3.358490566037736,7
7,arco,8.505050505050505,10.01010101010101,6
8,artix,9.31,2.58,7
9,athena,8.0,2.3333333333333335,2
10,backbox,8.333333333333334,10.0,8
11,biglinux,9.571428571428571,5.031746031746032,7
12,blendos,4.777777777777778,4.333333333333333,2
13,bluestar,5.409090909090909,10.681818181818182,1
14,bodhi,8.929824561403509,5.087719298245614,0
15,bros,8.6,6.4,1
16,cachyos,8.692307692307692,12.76923076923077,7
17,centos,4.470588235294118,7.176470588235294,4
18,clear,7.545454545454546,3.090909090909091,6
19,clonezilla,8.555555555555555,36.55555555555556,2
20,debian,8.76,18.63,2
21,deepin,7.78,22.48,2
22,devuan,9.27,34.87,7
23,easyos,8.807692307692308,3.6923076923076925,7
24,elementary,4.52,6.81,4
25,emmabuntus,8.884615384615385,3.8461538461538463,4
26,endeavour,8.13,9.78,7
27,eurolinux,4.666666666666667,1.3333333333333333,1
28,fedora,8.05,6.72,2
29,ferenos,8.772727272727273,2.909090909090909,7
30,freebsd,8.775862068965518,29.53448275862069,7
31,garuda,8.91,10.57,7
32,gecko,8.55,12.125,7
33,gentoo,8.375,9.517857142857142,2
34,ghostbsd,7.235294117647059,6.470588235294118,6
35,gnoppix,6.5,2.5,2
36,haiku,7.1875,11.75,2
37,kali,8.727272727272727,1.0909090909090908,5
38,kaos,5.809523809523809,5.142857142857143,1
39,kdeneon,8.47,7.91,6
40,kodachi,7.977777777777778,28.377777777777776,1
41,kubuntu,8.306122448979592,5.969387755102041,2
42,linuxfx,6.226415094339623,14.660377358490566,7
43,lite,8.04,4.23,7
44,lubuntu,7.8,4.075,0
45,lxle,8.13888888888889,3.1944444444444446,6
46,mabox,9.080645161290322,6.17741935483871,3
47,mageia,8.29,66.7,2
48,makulu,6.333333333333333,10.666666666666666,1
49,manjaro,8.0,4.42,2
50,mint,8.36,10.47,7
51,murena,8.428571428571429,59.142857142857146,2
52,mx,8.4,6.32,6
53,neptune,8.678571428571429,19.857142857142858,6
54,netbsd,5.0,2.142857142857143,1
55,nitrux,4.111111111111111,6.444444444444445,2
56,nixos,9.018518518518519,10.481481481481481,7
57,nobara,8.297872340425531,2.127659574468085,2
58,openbsd,8.433333333333334,37.5,2
59,openmandriva,7.973684210526316,3.6315789473684212,7
60,opensuse,8.32,11.99,7
61,oracle,8.0,6.583333333333333,2
62,parrot,8.428571428571429,3.914285714285714,6
63,pclinuxos,8.181818181818182,12.11111111111111,7
64,peppermint,7.654320987654321,4.209876543209877,2
65,popos,8.12,1.17,6
66,puppy,7.685185185185185,7.944444444444445,4
67,pureos,6.625,6.5,2
68,q4os,8.68,10.81,6
69,qubes,8.75,17.5625,2
70,reactos,5.714285714285714,4.071428571428571,4
71,rebornos,8.054054054054054,5.1891891891891895,2
72,redhat,6.833333333333333,6.833333333333333,2
73,regata,8.222222222222221,3.2222222222222223,1
74,rhino,4.555555555555555,1.4444444444444444,0
75,rocky,8.847826086956522,13.152173913043478,2
76,siduction,8.0,2.0,2
77,slackware,9.01,27.32,2
78,slax,6.75,9.75,4
79,smartos,7.0,36.0,8
80,solus,7.4,10.49,2
81,sparky,8.590361445783133,9.650602409638553,2
82,spiral,8.666666666666666,4.696969696969697,6
83,tails,5.0,9.705882352941176,4
84,tinycore,6.7,11.2,1
85,truenas,9.02,0.34,6
86,tuxedo,8.173913043478262,11.043478260869565,2
87,ubports,7.625,48.375,4
88,ubuntu,7.26,4.72,6
89,ubuntumate,8.242424242424242,4.681818181818182,2
90,ubuntustudio,8.333333333333334,1.5,6
91,vanilla,6.363636363636363,3.5454545454545454,7
92,void,9.16,8.78,2
93,voyager,7.947368421052632,2.6842105263157894,7
94,wattos,8.545454545454545,4.0,7
95,xero,8.3,31.8,6
96,xubuntu,8.098039215686274,7.078431372549019,2
97,zorin,8.39,5.01,2
