distribution,id,page hit(s)
MX Linux,mx,2331
Mint,mint,2248
EndeavourOS,endeavour,1500
Manjaro,manjaro,1458
Debian,debian,1436
Ubuntu,ubuntu,1036
Fedora,fedora,873
Pop!_OS,popos,810
Lite,lite,730
antiX,antix,719
openSUSE,opensuse,703
Mageia,mageia,614
Zorin,zorin,546
Garuda,garuda,516
Nobara,nobara,470
KDE neon,kdeneon,467
elementary,elementary,425
PCLinuxOS,pclinuxos,415
Kali,kali,391
Vanilla,vanilla,361
NixOS,nixos,346
CachyOS,cachyos,330
SparkyLinux,sparky,330
Puppy,puppy,329
ArcoLinux,arco,325
FreeBSD,freebsd,324
KaOS,kaos,324
TUXEDO,tuxedo,319
OpenMandriva,openmandriva,307
Linuxfx,linuxfx,301
Fatdog64,fatdog,300
Bodhi,bodhi,284
Qubes,qubes,282
Tails,tails,281
Zenwalk,zenwalk,279
SmartOS,smartos,272
Devuan,devuan,262
blendOS,blendos,259
Spiral,spiral,251
SysLinuxOS,syslinuxos,251
Clear,clear,248
Peropesis,peropesis,246
AlmaLinux,alma,244
Q4OS,q4os,244
Alpine,alpine,239
Voyager,voyager,239
Solus,solus,234
Pardus,pardus,226
Peppermint,peppermint,223
Regata,regata,222
EasyOS,easyos,219
Slackware,slackware,215
Kubuntu,kubuntu,213
Emmabuntüs,emmabuntus,209
XeroLinux,xero,209
Gnoppix,gnoppix,200
Armbian,armbian,186
Hyperbola,hyperbola,183
Lubuntu,lubuntu,180
PureOS,pureos,178
CentOS,centos,177
deepin,deepin,177
Xubuntu,xubuntu,173
Void,void,172
Plop,plop,171
Gentoo,gentoo,164
Parrot,parrot,159
Rocky,rocky,159
Arch,arch,155
LFS,lfs,154
MakuluLinux,makulu,154
Univention,univention,152
Mabox,mabox,151
Artix,artix,144
Red Hat,redhat,144
siduction,siduction,144
ReactOS,reactos,142
Rhino,rhino,141
4MLinux,4mlinux,140
LXLE,lxle,140
Archcraft,archcraft,138
wattOS,wattos,137
Whonix,whonix,136
ExTiX,extix,130
TrueNAS,truenas,130
Kodachi,kodachi,129
Tiny Core,tinycore,129
ALT,alt,126
Athena,athena,126
GhostBSD,ghostbsd,125
Murena,murena,122
Ubuntu MATE,ubuntumate,122
HardenedBSD,hardenedbsd,119
ROSA,rosa,119
Nitrux,nitrux,118
OpenBSD,openbsd,118
Ubuntu Studio,ubuntustudio,118
RebornOS,rebornos,115
Haiku,haiku,113
Absolute,absolute,112
